repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state,addline,deleteline,changefile,fetch_status
AmazeeLabs/silverback-template,Per-Project lagoon vector database,https://github.com/AmazeeLabs/silverback-template/pull/475,2025-05-21T14:14:02Z,2025-05-22T12:04:54Z,1,4,MERGED,117.0,3.0,9.0,Success
BBC-archive/psammead,Remove padding top and bottom from inline links,https://github.com/BBC-archive/psammead/pull/248,2019-01-02T13:27:15Z,2019-01-09T16:21:06Z,3,8,MERGED,5.0,4.0,5.0,Success
CruGlobal/mpdx-react,UI for Fixing Commitment Info,https://github.com/CruGlobal/mpdx-react/pull/159,2021-08-25T18:37:24Z,2021-09-01T20:40:12Z,1,15,MERGED,642.0,0.0,8.0,Success
Crystal-Creations-GbR/crystal-components,lang: update translations from Crystal Creations weblate,https://github.com/Crystal-Creations-GbR/crystal-components/pull/21,2024-02-04T19:21:27Z,2024-02-28T21:10:44Z,2,2,MERGED,2.0,2.0,2.0,Success
DouyinFE/semi-design,Fix/cascader search,https://github.com/DouyinFE/semi-design/pull/2030,2024-01-19T05:18:12Z,2024-02-06T08:03:08Z,3,3,MERGED,38.0,8.0,4.0,Success
DouyinFE/semi-design,Fix button dts,https://github.com/DouyinFE/semi-design/pull/691,2022-03-08T07:59:46Z,2022-03-08T08:13:33Z,3,1,MERGED,3.0,3.0,2.0,Success
Esri/calcite-design-system,docs(text-area): update limitText description,https://github.com/Esri/calcite-design-system/pull/11672,2025-03-05T20:13:14Z,2025-03-05T20:47:44Z,0,1,MERGED,1.0,1.0,1.0,Success
Esri/calcite-design-system,Histogram/Graph component,https://github.com/Esri/calcite-design-system/pull/579,2020-05-12T21:55:33Z,2020-05-13T18:28:54Z,12,2,MERGED,547.0,6.0,14.0,Success
Esri/calcite-design-system,chore(types): set up type-fest,https://github.com/Esri/calcite-design-system/pull/4943,2022-07-15T01:31:40Z,2022-07-16T06:27:42Z,1,4,MERGED,29.0,7.0,2.0,Success
Esri/calcite-design-system,feat: add plug connection,https://github.com/Esri/calcite-design-system/pull/11113,2024-12-19T17:08:20Z,2024-12-19T19:40:32Z,0,4,MERGED,8.0,0.0,4.0,Success
Esri/calcite-design-system,#144 <calcite-radio-button-group> and <calcite-radio-button> components,https://github.com/Esri/calcite-design-system/pull/482,2020-04-17T00:07:14Z,2020-05-13T22:35:49Z,8,74,MERGED,3849.0,90.0,35.0,Success
Esri/calcite-design-system,chore: add utility to render a placeholder SVG image.,https://github.com/Esri/calcite-design-system/pull/1587,2021-02-19T19:35:06Z,2021-02-19T20:48:16Z,4,3,MERGED,80.0,1.0,2.0,Success
Esri/calcite-design-system,"fix(popover, tooltip, combobox, dropdown, input-date-picker): Hide popover when the reference element or popover is out of view.",https://github.com/Esri/calcite-design-system/pull/4115,2022-02-15T18:53:35Z,2022-02-16T19:28:57Z,2,6,MERGED,50.0,0.0,2.0,Success
Esri/calcite-design-system,"feat: add portal-other, replica sync enable",https://github.com/Esri/calcite-design-system/pull/10517,2024-10-09T20:59:10Z,2024-10-09T22:24:29Z,0,4,MERGED,16.0,0.0,7.0,Success
Esri/calcite-design-system,fix(input-time-zone): remove debugging log messages,https://github.com/Esri/calcite-design-system/pull/11106,2024-12-18T22:06:12Z,2024-12-18T23:36:04Z,1,1,MERGED,1.0,6.0,1.0,Success
Esri/calcite-design-system,build(deps): bump calcite-ui-icons from 3.21.0 to 3.21.2,https://github.com/Esri/calcite-design-system/pull/6441,2023-02-08T18:30:44Z,2023-02-08T18:58:44Z,0,1,MERGED,8.0,8.0,2.0,Success
Esri/calcite-design-system,fix(filter): Dark theme colors. #1850,https://github.com/Esri/calcite-design-system/pull/2075,2021-04-29T16:33:45Z,2021-05-04T22:55:17Z,1,1,MERGED,2.0,1.0,1.0,Success
Esri/calcite-design-system,docs(storybook): add html preview tab,https://github.com/Esri/calcite-design-system/pull/1446,2021-01-06T23:03:11Z,2021-01-06T23:28:41Z,3,1,MERGED,71.0,1.0,3.0,Success
Esri/calcite-design-system,ci(actions): fix contributor list action failing,https://github.com/Esri/calcite-design-system/pull/10651,2024-10-30T18:46:22Z,2024-10-31T17:26:31Z,1,1,MERGED,2.0,0.0,1.0,Success
Esri/calcite-design-system,feat(flow): Adds setFocus method,https://github.com/Esri/calcite-design-system/pull/7252,2023-06-30T16:35:00Z,2023-07-05T22:35:58Z,1,24,MERGED,45.0,6.0,2.0,Success
ForgeRock/forgerock-web-login-framework,Add Webauthn support to Login Widget,https://github.com/ForgeRock/forgerock-web-login-framework/pull/123,2023-06-20T19:04:36Z,2023-06-22T00:45:31Z,3,2,MERGED,15567.0,3483.0,23.0,Success
GCTC-NTGC/gc-digital-talent,[Feature] Community talent page added,https://github.com/GCTC-NTGC/gc-digital-talent/pull/12733,2025-02-07T21:01:54Z,2025-02-13T21:43:42Z,8,21,MERGED,598.0,8.0,20.0,Success
GCTC-NTGC/gc-digital-talent,[Feature] New work experience fields,https://github.com/GCTC-NTGC/gc-digital-talent/pull/11947,2024-11-14T00:17:46Z,2024-11-26T20:25:07Z,0,31,MERGED,1692.0,63.0,44.0,Success
GCTC-NTGC/gc-digital-talent,[Fix] `opportunityLength` value in `ReviewApplicationDialog`,https://github.com/GCTC-NTGC/gc-digital-talent/pull/12840,2025-02-25T15:18:09Z,2025-02-25T16:05:54Z,0,1,MERGED,6.0,1.0,1.0,Success
GCTC-NTGC/gc-digital-talent,"[Copy] Updates French versions of Process Operator, Community Recruiter, Community Administrator, Platform Administrator",https://github.com/GCTC-NTGC/gc-digital-talent/pull/14147,2025-07-15T16:20:28Z,2025-07-15T18:24:16Z,0,1,MERGED,11.0,11.0,1.0,Success
Khan/perseus,[fool-tips] Tooltip is Dead. Long Live Tooltip.,https://github.com/Khan/perseus/pull/2195,2025-02-05T18:05:20Z,2025-02-05T23:56:52Z,2,3,MERGED,318.0,1273.0,12.0,Success
Khan/wonder-blocks,Add Breadcrumbs to Storybook,https://github.com/Khan/wonder-blocks/pull/1421,2022-04-15T05:14:04Z,2022-04-20T18:50:09Z,5,4,MERGED,169.0,0.0,5.0,Success
Khan/wonder-blocks,FEI-4966.10: Move docs out of packages and into top-level docs folder,https://github.com/Khan/wonder-blocks/pull/1762,2023-02-28T16:52:02Z,2023-03-01T17:20:07Z,4,6,MERGED,1137.0,693.0,178.0,Success
Khan/wonder-blocks,WB-1064 - Add LabeledTextField to WB (file setup),https://github.com/Khan/wonder-blocks/pull/1144,2021-06-14T21:42:39Z,2021-06-21T19:40:49Z,1,1,MERGED,265.0,115.0,9.0,Success
Khan/wonder-blocks,WB-1666: OptionItem not vertically centered when horizontalRule is set (fix),https://github.com/Khan/wonder-blocks/pull/2187,2024-02-21T17:00:11Z,2024-02-23T15:09:51Z,6,1,MERGED,10.0,3.0,3.0,Success
Khan/wonder-blocks,WB-1222: DetailCell style tweaks,https://github.com/Khan/wonder-blocks/pull/1333,2022-02-02T18:04:21Z,2022-02-02T23:06:37Z,5,3,MERGED,40.0,6.0,4.0,Success
Khan/wonder-blocks,WB-1200.2: Migrate BirthdayPicker component,https://github.com/Khan/wonder-blocks/pull/1317,2022-01-27T17:08:40Z,2022-01-31T18:39:28Z,5,9,MERGED,726.0,21.0,11.0,Success
Khan/wonder-blocks,Add GemBadge and GemIcon components,https://github.com/Khan/wonder-blocks/pull/2616,2025-05-22T22:29:26Z,2025-05-28T15:58:28Z,6,10,MERGED,856.0,114.0,26.0,Success
Khan/wonder-blocks,WB-483: Add custom labels to MultiSelect,https://github.com/Khan/wonder-blocks/pull/659,2019-12-17T14:02:18Z,2019-12-18T16:08:49Z,1,19,MERGED,946.0,210.0,18.0,Success
Khan/wonder-blocks,Add 'xlarge' size variant to Button,https://github.com/Khan/wonder-blocks/pull/1062,2020-10-12T16:47:49Z,2020-10-13T14:34:05Z,6,4,MERGED,1055.0,242.0,6.0,Success
Khan/wonder-blocks,LabeledField: Add `additionalHelperMessage` prop,https://github.com/Khan/wonder-blocks/pull/2714,2025-07-15T16:24:06Z,2025-07-23T15:50:42Z,6,15,MERGED,316.0,133.0,9.0,Success
Khan/wonder-blocks,WB-1200.3: Add `labels` prop to support passing translated strings,https://github.com/Khan/wonder-blocks/pull/1318,2022-01-27T19:30:36Z,2022-01-31T20:17:12Z,5,14,MERGED,205.0,31.0,6.0,Success
Khan/wonder-blocks,Update Link WithTypography story,https://github.com/Khan/wonder-blocks/pull/1907,2023-05-10T18:29:04Z,2023-05-10T20:52:05Z,4,2,MERGED,12.0,7.0,2.0,Success
Khan/wonder-blocks,"IconButton: Add id prop, fix type to set 'button' as default",https://github.com/Khan/wonder-blocks/pull/2332,2024-10-01T15:51:51Z,2024-10-01T18:48:21Z,5,1,MERGED,40.0,2.0,4.0,Success
Khan/wonder-blocks,[🔥AUDIT🔥] Handle React.Element<React.ElementProps<...>> spanning multiple lines,https://github.com/Khan/wonder-blocks/pull/1815,2023-03-17T20:36:47Z,2023-03-17T20:59:06Z,4,3,MERGED,8.0,3.0,2.0,Success
Longhorn-Developers/UT-Registration-Plus,fix: async course display size,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/181,2024-03-20T07:53:12Z,2024-03-20T16:03:23Z,0,1,MERGED,5.0,1.0,1.0,Success
NeurodataWithoutBorders/nwb-guide,Add CellExplorerRecordingInterface,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/465,2023-10-17T21:33:17Z,2023-12-29T17:18:58Z,6,2,MERGED,2.0,1.0,1.0,Success
NeurodataWithoutBorders/nwb-guide,Add auto-update workflow,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/786,2024-05-20T20:24:54Z,2024-05-29T22:52:29Z,7,27,MERGED,331.0,112.0,18.0,Success
NeurodataWithoutBorders/nwb-guide,Hide multi-instance sidebar when only a single session,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/688,2024-03-18T16:40:35Z,2024-03-23T03:47:52Z,1,5,MERGED,25.0,7.0,1.0,Success
NeurodataWithoutBorders/nwb-guide,Add MiniscopeConverter,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/489,2023-10-31T18:01:12Z,2023-10-31T18:11:30Z,2,3,MERGED,2.0,1.0,1.0,Success
NeurodataWithoutBorders/nwb-guide,Conversion Review File Button,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/706,2024-03-27T18:07:18Z,2024-03-27T18:25:18Z,0,2,MERGED,34.0,10.0,2.0,Success
PostHog/posthog,chore: better list visuals,https://github.com/PostHog/posthog/pull/29343,2025-02-28T10:18:23Z,2025-03-03T16:58:55Z,10,15,MERGED,40.0,10.0,7.0,Success
Sage-Bionetworks/synapse-web-monorepo,PORTALS-3474: Add CiteAs button to publications on NF Data Portal,https://github.com/Sage-Bionetworks/synapse-web-monorepo/pull/1637,2025-03-13T17:32:49Z,2025-03-13T23:45:56Z,0,2,MERGED,7.0,2.0,2.0,Success
Sage/carbon,feat(switch): add support for new validation - FE-5755,https://github.com/Sage/carbon/pull/6125,2023-06-15T15:21:00Z,2023-07-06T13:33:50Z,3,2,MERGED,229.0,19.0,8.0,Success
Sage/carbon,feat(dialog): add greyBackground prop,https://github.com/Sage/carbon/pull/6435,2023-11-17T15:29:30Z,2023-12-04T10:58:38Z,4,2,MERGED,172.0,1.0,7.0,Success
Sage/carbon,FE-1326 - [Configurable Items],https://github.com/Sage/carbon/pull/2147,2019-06-21T11:04:45Z,2019-06-25T08:58:25Z,0,25,MERGED,656.0,551.0,18.0,Success
Trendyol/baklava,feat(tooltip): add css variable for set display of tooltip trigger,https://github.com/Trendyol/baklava/pull/655,2023-07-14T11:05:06Z,2023-07-14T12:31:48Z,2,1,MERGED,2.0,2.0,2.0,Success
VOICEVOX/voicevox,選択中のアクセント句をリセットする機能を追加,https://github.com/VOICEVOX/voicevox/pull/779,2022-04-04T13:31:20Z,2022-04-08T13:47:08Z,0,3,MERGED,54.0,16.0,5.0,Success
WPMedia/arc-themes-blocks,OIDC for login block and social sign in,https://github.com/WPMedia/arc-themes-blocks/pull/1803,2023-11-18T00:39:38Z,2023-11-21T19:01:14Z,3,7,MERGED,101.0,13.0,6.0,Success
WPMedia/arc-themes-blocks,HOTFIX - TMEDIA-495 Horizontal Links Defect,https://github.com/WPMedia/arc-themes-blocks/pull/1093,2021-09-20T19:58:13Z,2021-09-20T20:24:30Z,0,1,MERGED,1.0,1.0,1.0,Success
WPMedia/arc-themes-blocks,TMEDIA-532 - Only use resizer when image contains http,https://github.com/WPMedia/arc-themes-blocks/pull/1149,2021-10-28T20:01:47Z,2021-10-29T20:22:59Z,0,1,MERGED,35.0,21.0,2.0,Success
WPMedia/arc-themes-blocks,Tmedia 701 raw html static,https://github.com/WPMedia/arc-themes-blocks/pull/1298,2022-03-21T21:07:36Z,2022-03-23T14:06:43Z,4,5,MERGED,7.0,35.0,2.0,Success
WPMedia/arc-themes-blocks,TMEDIA-83 - Use queryly's minified JavaScript file,https://github.com/WPMedia/arc-themes-blocks/pull/801,2021-04-01T13:53:50Z,2021-04-01T14:35:37Z,4,1,MERGED,1.0,1.0,1.0,Success
WPMedia/arc-themes-blocks,PEN-1700 - Top Table List - Small items spacing -> RC,https://github.com/WPMedia/arc-themes-blocks/pull/718,2021-02-03T15:07:58Z,2021-02-03T16:33:16Z,0,1,MERGED,2.0,1.0,2.0,Success
WPMedia/arc-themes-blocks,updated max-height and max-width of author image to 88px,https://github.com/WPMedia/arc-themes-blocks/pull/1506,2022-09-07T21:01:12Z,2022-09-08T14:38:18Z,0,2,MERGED,2.0,2.0,1.0,Success
WPMedia/arc-themes-blocks,PEN-1440: overlap fix for nav chain horizontal links,https://github.com/WPMedia/arc-themes-blocks/pull/580,2020-11-23T17:11:21Z,2020-11-25T16:04:25Z,0,1,MERGED,1.0,0.0,1.0,Success
WPMedia/arc-themes-blocks,TMEDIA-310 - Block Icons,https://github.com/WPMedia/arc-themes-blocks/pull/1060,2021-08-20T14:14:59Z,2021-08-20T21:57:41Z,0,2,MERGED,88.0,1.0,43.0,Success
WPMedia/arc-themes-blocks,fix: Remove article body unused engine theme sdk prop. The value is hidden anyway.,https://github.com/WPMedia/arc-themes-blocks/pull/1467,2022-08-04T15:07:53Z,2022-08-04T16:13:41Z,0,3,MERGED,103.0,4.0,2.0,Success
WPMedia/arc-themes-blocks,PEN-1611 Ability to turn off separating dots in Navigation Chain horizontal links,https://github.com/WPMedia/arc-themes-blocks/pull/690,2021-01-20T14:09:58Z,2021-01-22T04:43:09Z,0,2,MERGED,1.0,1.0,1.0,Success
WPMedia/arc-themes-blocks,TBRANDS-30 : Quilted Image Block,https://github.com/WPMedia/arc-themes-blocks/pull/1319,2022-04-22T20:25:56Z,2022-04-25T21:07:25Z,2,16,MERGED,20.0,19.0,1.0,Success
WPMedia/arc-themes-blocks,Pen 732 numbered list image,https://github.com/WPMedia/arc-themes-blocks/pull/131,2020-02-26T17:23:25Z,2020-02-26T22:31:58Z,3,3,MERGED,144.0,9.0,4.0,Success
WPMedia/arc-themes-blocks,TMEDIA-737: Tag Title block,https://github.com/WPMedia/arc-themes-blocks/pull/1381,2022-06-13T22:43:47Z,2022-06-15T14:19:07Z,1,13,MERGED,88.0,98.0,8.0,Success
WPMedia/arc-themes-blocks,Fix/asub 8279 broken login redirect 2.1.2,https://github.com/WPMedia/arc-themes-blocks/pull/2015,2024-03-18T04:38:59Z,2024-03-20T20:16:43Z,1,5,MERGED,24.0,12.0,3.0,Success
WPMedia/arc-themes-blocks,Themes 109 corrections translations,https://github.com/WPMedia/arc-themes-blocks/pull/794,2021-03-29T21:36:06Z,2021-03-30T14:11:31Z,2,6,MERGED,97.0,3.0,5.0,Success
WPMedia/arc-themes-blocks,PEN-1439: Primary color option for nav bar color,https://github.com/WPMedia/arc-themes-blocks/pull/579,2020-11-20T22:20:52Z,2020-12-14T11:18:36Z,0,2,MERGED,27.0,2.0,2.0,Success
WPMedia/arc-themes-components,THEMES-1907: Sign Author Images,https://github.com/WPMedia/arc-themes-components/pull/263,2024-05-03T14:03:40Z,2024-05-17T15:49:00Z,2,9,MERGED,180.0,16.0,2.0,Success
WPMedia/arc-themes-components,Tmedia 660 prettier ticket,https://github.com/WPMedia/arc-themes-components/pull/24,2022-02-18T20:55:34Z,2022-02-24T17:54:06Z,14,9,MERGED,796.0,381.0,45.0,Success
Workday/canvas-kit,fix: Remove style attribute on Expandable Title,https://github.com/Workday/canvas-kit/pull/2074,2023-03-09T05:52:42Z,2023-03-09T18:34:28Z,2,1,MERGED,4.0,6.0,1.0,Success
Workday/canvas-kit,docs: Rename Migration Guides to Upgrade Guides,https://github.com/Workday/canvas-kit/pull/1591,2022-05-17T19:58:47Z,2022-05-17T21:35:19Z,1,6,MERGED,32.0,31.0,7.0,Success
adobe/react-spectrum,Fix ListView thumbnail item height in Safari,https://github.com/adobe/react-spectrum/pull/3301,2022-07-12T20:44:49Z,2022-07-15T16:59:18Z,2,2,MERGED,11.0,13.0,3.0,Success
adobe/react-spectrum,Add icon table for workflow icons in docs,https://github.com/adobe/react-spectrum/pull/488,2020-05-21T22:11:22Z,2020-07-10T23:29:21Z,13,17,MERGED,245.0,43.0,12.0,Success
adobe/react-spectrum,Add act() eslint rule and upgrade eslint,https://github.com/adobe/react-spectrum/pull/1054,2020-09-07T15:45:44Z,2020-10-06T18:44:27Z,16,9,MERGED,1389.0,1219.0,63.0,Success
adobe/react-spectrum,Make keys in Picker stories match the values,https://github.com/adobe/react-spectrum/pull/2654,2021-12-08T00:26:14Z,2021-12-09T23:08:25Z,0,3,MERGED,7.0,7.0,1.0,Success
adobe/react-spectrum,"Implement help text for TextField, TextArea, SearchField, and Picker",https://github.com/adobe/react-spectrum/pull/1846,2021-04-26T19:40:01Z,2021-08-31T22:55:09Z,0,55,MERGED,997.0,180.0,41.0,Success
adobe/react-spectrum,Fix menu item padding in large scale,https://github.com/adobe/react-spectrum/pull/541,2020-05-29T22:53:04Z,2020-05-29T23:06:53Z,1,1,MERGED,3.0,1.0,1.0,Success
adobe/react-spectrum,Fix SearchWithin picker so that it doesn't overflow the component width,https://github.com/adobe/react-spectrum/pull/2203,2021-08-03T23:30:28Z,2021-10-12T23:33:09Z,6,6,MERGED,5.0,2.0,2.0,Success
adobe/react-spectrum,fix: Make long content in quiet Picker properly truncate when in fixed width container ,https://github.com/adobe/react-spectrum/pull/5813,2024-02-06T12:05:45Z,2024-02-09T00:28:06Z,3,4,MERGED,34.0,2.0,2.0,Success
adobe/react-spectrum,set modal min width to dialog min width,https://github.com/adobe/react-spectrum/pull/609,2020-06-10T00:16:11Z,2020-06-11T02:01:35Z,1,1,MERGED,1.0,0.0,1.0,Success
adobe/spectrum-css,"fix(popover): correct left/right tips for RTL, increase VRT coverage",https://github.com/adobe/spectrum-css/pull/2753,2024-05-13T17:09:08Z,2024-05-22T20:13:25Z,3,5,MERGED,122.0,32.0,4.0,Success
adobe/spectrum-css,feat: add InfieldButton component,https://github.com/adobe/spectrum-css/pull/1345,2022-01-10T20:56:24Z,2022-02-07T22:02:45Z,1,3,MERGED,1551.0,597.0,7.0,Success
adobe/spectrum-css,feat(fieldlabel)!: s2 migration,https://github.com/adobe/spectrum-css/pull/2569,2024-02-28T15:30:47Z,2024-03-11T17:04:35Z,4,11,MERGED,187.0,97.0,7.0,Success
appsmithorg/appsmith,chore: Improve js execution instrumentation,https://github.com/appsmithorg/appsmith/pull/24994,2023-07-02T22:49:25Z,2023-07-06T08:45:29Z,39,10,MERGED,308.0,31.0,7.0,Success
bitwarden/clients,[PM-5363] PinService Migration Fix,https://github.com/bitwarden/clients/pull/9163,2024-05-13T20:09:34Z,2024-05-13T21:18:54Z,2,1,MERGED,2.0,1.0,1.0,Success
bitwarden/clients,[PM-21807] Migrate fido components to tailwind,https://github.com/bitwarden/clients/pull/16645,2025-09-29T16:48:53Z,2025-10-16T08:08:14Z,5,13,MERGED,168.0,239.0,4.0,Success
cerebrl/forgerock-web-login-framework,feat(docs): add docs site internally to project,https://github.com/cerebrl/forgerock-web-login-framework/pull/7,2022-07-18T17:18:45Z,2022-11-09T16:28:20Z,1,1,MERGED,1385.0,176.0,30.0,Success
